KENYA PROVIDERS,county,Specialty,Location
Dr. Wachira Murage,Nairobi,Gynaecologist,Consolidated Bank Hse-Koinange Street/ KNH Drs Plaza Suite 15
Inkamed Pharmaceuticals,Nairobi,Pharmacy,Uchumi House ground Flr
All Kam Pharmacys,Nairobi,Pharmacy,IPS Building/Cargen House/Mpaka Plaza - westlands
Brick Pharmacy Nairobi,Nairobi,Pharmacy,Adams Arcade Shopping Centre
Jacaranda Chemist,Nairobi,Pharmacy,"Nairobi,Kimathi Hse Grd Floor"
All Eltons Pharmacy,Nairobi,Pharmacy,Reinsurance plaza -Town/
Legrande Speciality Pharmacy,Nairobi,Pharmacy,"5th Avenue Building, 3rd floor suite 2 Ngong Road"
Lemuma Pharmacy,Nairobi,Pharmacy,Tom Mboya(KTDA) /Moi Ave/Mfangano
Sears Pharmacy,Nairobi,Pharmacy,"Rehani House, Banda Street Off Koinage"
Westlands Medical Centre & Priority Chemist,Nairobi,Pharmacy,"Reliance Centre Grd Flr, Woodvale Groove Street Westlands"
Raj Pharmacy,Nairobi,Pharmacy,Opposite Nairobi Hospital
Chiromo Lane medical Centre (Bustani)-Psychiatric unit,Nairobi,Hospital,Muthangari drive â€“ Muthangari 37
Meridian Medical Centre,Nairobi,Clinic,"Yaya Centre, 3rd Floor"
Melchezedek Hospital,Nairobi,Hospital,Naivasha Road
Diagnostic Center - X-ray Services,Nairobi,Radiology Center,"Avenue Hospital, 1st Ave. Parklands"
Clinix Healthcare Haileselaise,Nairobi,Clinic,Agip Petrol Station next to Barclays
Aga Khan University Medical Centre,Nairobi,Hospital,"Jubilee Exchange Building, 6th Floor"
Karen Clinic,Nairobi,Clinic,Chester House- Kenyatta Avenue
Acacia Medical Centre Ltd.,Nairobi,Clinic,"General Accident House, Ralph Bunche Road"
AAR Clinic,Nairobi,Clinic,George Williamson Nairobi
Nairobi Hospital,Nairobi,Hospital,Argwings Kodhek Rd
Meridian Medical Centre,Nairobi,Clinic,"Nation Centre, 11th Floor"
Diagnostic Center - X-ray Services,Nairobi,Radiology Center,"Jubilee Insurance House, 3rd Floor, Wabera street"
Jamaa Home $ Maternity,Nairobi,Hospital,"Hospital, Uhuru estate"
Pathologists Lancet - Kenya,Nairobi,Laboratory Services,"5th Avenue Building,opp. Traffic Police HQ"
Nairobi imaging solutions X-ray Services,Nairobi,Radiology Center,General Accident House
Meridian Medical Centre,Nairobi,Clinic,"Jivan Bharat House - City Square, Ground Floor"
Nairobi Out Patient Medical Centre,Nairobi,Clinic,Muindi Mbingu St - windsor house
Gilead Medical Centre,Nairobi,Clinic,Nssf Building
